Argument,category,FSQType1,FSQType2,Span_FSQType1,Span_FSQType2,Predicted_Type1,Predicted_Type2,Span_PredictedType1,Span_PredictedType2,FSQQuestion1,FSQQuestion2,FSQQuestion1_Corrected,FSQQuestion2_Corrected
"I believe America is the best country in the world because no country in the world is perfect, however America provides the avenues and rights for one to make his or her voice heard and incite change regardless of society's consensus. Another point is that this is really the land of opportunity.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,America is the best country,America is the best country,,,,,What would other stakeholders with an opposing stance say about America is the best country?,What might happen if America is the best country changes in time?,What would other stakeholders with an opposing stance say about America is the best country?,What might happen if America is the best country changes in time?
I believe that ACAB just like I believe that all Nazi guards are bastards. Good cops don't exist because you can't fulfill your orders as a cop and not be a bastard. (e.g. Arresting for possession should not be thing).,alternate_viewpoints_perspectives,Other Stakeholder Perspective,,all Nazi guards are bastards.,,,,,,What would other stakeholders with an opposing stance say about all Nazi guards are bastards.?,,What would other stakeholders with an opposing stance say about all Nazi guards are bastards.?,
"Because the people who refer to ""racial sexual realism"" and ""White Nationalism"" very rarely have scientifically sound beliefs. Even when there are concrete, objective differences, acting upon those differences blows them way out of proportion.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,,"people who refer to ""racial sexual realism"" and ""White Nationalism"" very rarely have scientifically sound beliefs.",,,,,,"What would other stakeholders with an opposing stance say about people who refer to ""racial sexual realism"" and ""White Nationalism"" very rarely have scientifically sound beliefs.?",,"What would other stakeholders with an opposing stance say about people who refer to ""racial sexual realism"" and ""White Nationalism"" very rarely have scientifically sound beliefs.?",
"Because it's a term used too vaguely, it creates a spiral of more violence and wait a minute? Don't you believe in due process? Are you advocating vigilantism? It's not illegal to be a Nazi. You should still punch them for being bad people.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,You should still punch them for being bad people.,It's not illegal to be a Nazi.,,,,,What would other stakeholders with an opposing stance say about You should still punch them for being bad people.?,What might happen if It's not illegal to be a Nazi. changes in time?,What would other stakeholders with an opposing stance say about You should still punch them for being bad people.?,What might happen if It's not illegal to be a Nazi. changes in time?
The problem with this type of thinking is that it means that nobody is responsible for anything. Everyone is always acting in accordance with the electrochemical machinery of their brain. Anyone doing ANYTHING evil would just be doing it because of how their brain is wired.,alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,nobody is responsible for anything,nobody is responsible for anything,,,,,What would other stakeholders with an opposing stance say about nobody is responsible for anything?,What might happen if nobody is responsible for anything changes in time?,What would other stakeholders with an opposing stance say about nobody is responsible for anything?,What might happen if nobody is responsible for anything changes in time?
"Because you have to earn it. If white female privilege is far greater than white male privilege, why do White women earn 81.1% as much as their male counterparts? The gender pay gap is a myth.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,The gender pay gap is a myth.,women earn 81.1%,,,,,What would other stakeholders with an opposing stance say about The gender pay gap is a myth.?,What might happen if women earn 81.1% changes in time?,What would other stakeholders with an opposing stance say about The gender pay gap is a myth.?,What might happen if women earn 81.1% changes in time?
I mean that saying that Starbucks is a racist organization based on the Philly encounter is incorrect. Starbucks does not tell people to throw out customers due to their race.,alternate_viewpoints_perspectives,Other Stakeholder Perspective,,Starbucks does not tell people to throw out customers due to their race.,,,,,,What would other stakeholders with an opposing stance say about Starbucks does not tell people to throw out customers due to their race.?,,What would other stakeholders with an opposing stance say about Starbucks does not tell people to throw out customers due to their race.?,
"This isn't some policy where every baby with a severe mental issue MUST be euthanized. This is giving the option to parents to euthanize their baby. You can't extend this to euthanizing adults, because there's no comparable circumstance where an individual has ""control"" over an adult.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,"individual has ""control"" over an adult.",This isn't some policy where every baby with a severe mental issue MUST be euthanized.,,,,,"What would other stakeholders with an opposing stance say about individual has ""control"" over an adult.?",What might happen if This isn't some policy where every baby with a severe mental issue MUST be euthanized. changes in time?,"What would other stakeholders with an opposing stance say about individual has ""control"" over an adult.?",What might happen if This isn't some policy where every baby with a severe mental issue MUST be euthanized. changes in time?
"Because it more expensive to make it here than it is in Canada. We can't make all the stuff ourselves, so we buy it from Canada. Well, now that got more expensive. But now Can. metal is still cheaper than for what we can make it domestically.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,more expensive to make it here than it is in Canada,more expensive to make it here than it is in Canada,,,,,What would other stakeholders with an opposing stance say about more expensive to make it here than it is in Canada?,What might happen if more expensive to make it here than it is in Canada changes in time?,What would other stakeholders with an opposing stance say about more expensive to make it here than it is in Canada?,What might happen if more expensive to make it here than it is in Canada changes in time?
"No, you're not supporting anyone else who worked on the movie. That's the point. It discourages other people in the industry from working with that person. If everyone knows that a movie or show isn't going to make money because of a specific actor or director they won't work on it.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,,If everyone knows that a movie or show isn't going to make money because of a specific actor or director they won't work on it.,,,,,,What would other stakeholders with an opposing stance say about If everyone knows that a movie or show isn't going to make money because of a specific actor or director they won't work on it.?,,What would other stakeholders with an opposing stance say about If everyone knows that a movie or show isn't going to make money because of a specific actor or director they won't work on it.?,
"there are rules against dirty tactics, but they are often missed due to the fast paced nature of the game. in a perfect world, yeah it would be great if it just took rules, but it doesn't. In football, basketball, baseball, etc...",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,missed due to the fast paced nature of the game,"ould be great if it just took rules, but it doesn't.",,,,,What would other stakeholders with an opposing stance say about missed due to the fast paced nature of the game?,"What might happen if ould be great if it just took rules, but it doesn't. changes in time?",What would other stakeholders with an opposing stance say about missed due to the fast paced nature of the game?,"What might happen if ould be great if it just took rules, but it doesn't. changes in time?"
"I think it's incredibly short sighted of people to not be frightened. We are all going to die. Some sooner, some later - But ultimately the difference is negligible. It's going to happen. I believe we purposefully block the thought of death from our minds because to not would be debilitating.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,,I think it's incredibly short sighted of people to not be frightened.,,,,,,What would other stakeholders with an opposing stance say about I think it's incredibly short sighted of people to not be frightened.?,,What would other stakeholders with an opposing stance say about I think it's incredibly short sighted of people to not be frightened.?,
Eh if we are going to extend it to animals why not all living things. Because central nervous system and we can empathize with the horrifying sounds animals make in distressed situations. Plants do not cry or scream.,alternate_viewpoints_perspectives,Other Stakeholder Perspective,,Because central nervous system and we can empathize with the horrifying sounds animals make in distressed situations. Plants do not cry or scream.,,,,,,What would other stakeholders with an opposing stance say about Because central nervous system and we can empathize with the horrifying sounds animals make in distressed situations. Plants do not cry or scream.?,,What would other stakeholders with an opposing stance say about Because central nervous system and we can empathize with the horrifying sounds animals make in distressed situations. Plants do not cry or scream.?,
Animals are living beings able to feel suffering just like humans. Because of this humans and animals are equal and should be treated the same.,alternate_viewpoints_perspectives,Other Stakeholder Perspective,,Because of this humans and animals are equal and should be treated the same.,,,,,,What would other stakeholders with an opposing stance say about Because of this humans and animals are equal and should be treated the same.?,,What would other stakeholders with an opposing stance say about Because of this humans and animals are equal and should be treated the same.?,
"I feel bestiality is worse than killing animals for the same reason I believe death penalty is a lesser punishment than a life without parole. Death, as long as it is quick and relatively painless is better than a torturous life because the amount of time.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,Temporal Contrast,bestiality is worse than killing animal,bestiality is worse than killing animal,,,,,What would other stakeholders with an opposing stance say about bestiality is worse than killing animal?,What might happen if bestiality is worse than killing animal changes in time?,What would other stakeholders with an opposing stance say about bestiality is worse than killing animal?,What might happen if bestiality is worse than killing animal changes in time?
"Therefore it makes no sense for you to be against hurting animals. You've already accepted that we can kill them, why not torture them as well? This is a huge leap in logic.",alternate_viewpoints_perspectives,Other Stakeholder Perspective,,why not torture them as well? This is a huge leap in logic.,,,,,,What would other stakeholders with an opposing stance say about why not torture them as well? This is a huge leap in logic.?,,What would other stakeholders with an opposing stance say about why not torture them as well? This is a huge leap in logic.?,
"There isn't a political party that represents them because they don't march down main st, not the other way around. All the other groups OP is complaining about do.",clarity,Vague or Ambiguous Terms,Overgeneralized Statement,All the other groups OP is complaining about do.,political party that represents them because they don't march down main,,,,,Do you think the general public would understand what you mean by All the other groups OP is complaining about do.?,Why do you think political party that represents them because they don't march down main is true in all situations?,Do you think the general public would understand what you mean by All the other groups OP is complaining about do.?,Why do you think political party that represents them because they don't march down main is true in all situations?
"The issue is that the pregnancy is, due to biological constraints, forced upon the woman. This gives her the sole right to an abortion. Consider what happens if there's a surrogacy.",clarity,Vague or Ambiguous Terms,Overgeneralized Statement,"biological constraints,","The issue is that the pregnancy is, due to biological constraints, forced upon the woman",,,,,"Do you think the general public would understand what you mean by biological constraints,?","Why do you think The issue is that the pregnancy is, due to biological constraints, forced upon the woman is true in all situations?","Do you think the general public would understand what you mean by biological constraints,?","Why do you think The issue is that the pregnancy is, due to biological constraints, forced upon the woman is true in all situations?"
"I'm live in America if that makes any difference to what the response might be. The reason I believe what I said above is: Because of your basic rights as an American, you are able to vote in elections and help make a difference for who you want to represent you.",clarity,,Overgeneralized Statement,,help make a difference for who you want to represent you.,,,,,,Why do you think help make a difference for who you want to represent you. is true in all situations?,,Why do you think help make a difference for who you want to represent you. is true in all situations?
"Certainly breathing alone can’t be bioterrorism, but I would happily argue throwing a big party during a pandemic is. The “because we have rights” argument doesn’t make sense to me.",clarity,Vague or Ambiguous Terms,Overgeneralized Statement,bioterrorism,but I would happily argue throwing a big party during a pandemic is,,,,,Do you think the general public would understand what you mean by bioterrorism?,Why do you think but I would happily argue throwing a big party during a pandemic is is true in all situations?,Do you think the general public would understand what you mean by bioterrorism?,Why do you think but I would happily argue throwing a big party during a pandemic is is true in all situations?
Third wave feminism is just too open and all-inclusive a movement and therefore so different from Second wave feminism that it's basically egalitarianism by another name. So just switch to egalitarianism and be honest about what you support.,clarity,Vague or Ambiguous Terms,Overgeneralized Statement,Third wave feminism,Third wave feminism is just too open and all-inclusive a movement and therefore so different from,,,,,Do you think the general public would understand what you mean by Third wave feminism?,Why do you think Third wave feminism is just too open and all-inclusive a movement and therefore so different from is true in all situations?,Do you think the general public would understand what you mean by Third wave feminism?,Why do you think Third wave feminism is just too open and all-inclusive a movement and therefore so different from is true in all situations?
There are different theories of what oppression is and what causes it. 2nd wave feminist often argue that because we live in a patriarchy you can't separate a woman's sexuality from the oppressive male centric culture.,clarity,Vague or Ambiguous Terms,,2nd wave feminist,,,,,,Do you think the general public would understand what you mean by 2nd wave feminist?,,Do you think the general public would understand what you mean by 2nd wave feminist?,
Science ends up finding answers. Answers that are thoroughly tested and proven. And thus answers we can trust are probably correct. Eg. science has found out Earth is a globe.,clarity,Vague or Ambiguous Terms,Overgeneralized Statement,we can trust are probably correct.,Science ends up finding answers.,,,,,Do you think the general public would understand what you mean by we can trust are probably correct.?,Why do you think Science ends up finding answers. is true in all situations?,Do you think the general public would understand what you mean by we can trust are probably correct.?,Why do you think Science ends up finding answers. is true in all situations?
"Interesting chart. I have a problem with the ""I'm not sure"" - ""Theism only applies to those who have an active belief"" Sometimes I do things because I believe in the existence of God and some days I don't. E.g. I pray sometimes when under great stress.",clarity,,,,,,,,,,,,
I’m the single mother and have a 12yr old son. I think about this everyday raising him. I acknowledge that my view may be ..skewed due to personal experiences.,clarity,,Overgeneralized Statement,,my view may be ..skewed due to personal experiences.,,,,,,Why do you think my view may be ..skewed due to personal experiences. is true in all situations?,,Why do you think my view may be ..skewed due to personal experiences. is true in all situations?
"There are anti-vax people, including but not always limited to the COVID vaccines Which have been marginalized because vaccines work and don't cause autism like they claim. The people in the second group have an argument independent of medicine or science.",clarity,Vague or Ambiguous Terms,Overgeneralized Statement,The people in the second group,The people in the second group have an argument independent of medicine or science.,,,,,Do you think the general public would understand what you mean by The people in the second group?,Why do you think The people in the second group have an argument independent of medicine or science. is true in all situations?,Do you think the general public would understand what you mean by The people in the second group?,Why do you think The people in the second group have an argument independent of medicine or science. is true in all situations?
"She says ""I'm just sick of how men sexually assault people"". This statement is not identical to ""I'm just sick of how all men sexually assault people"" is it? Just because the statements aren't identical doesn't mean they don't convey the same message.",clarity,,Overgeneralized Statement,,"""I'm just sick of how men sexually assault people"".",,,,,,"Why do you think ""I'm just sick of how men sexually assault people"". is true in all situations?",,"Why do you think ""I'm just sick of how men sexually assault people"". is true in all situations?"
I made a post on r/AITA and it got removed because I used the word tranny. I was called a homophobe because I told people about how I was trapped and deceived by a transsexual. Everyone seemed to hold the same opinion that it is a slur.,clarity,Vague or Ambiguous Terms,Overgeneralized Statement,r/AITA,Everyone seemed to hold the same opinion that it is a slur.,,,,,Do you think the general public would understand what you mean by r/AITA?,Why do you think Everyone seemed to hold the same opinion that it is a slur. is true in all situations?,Do you think the general public would understand what you mean by r/AITA?,Why do you think Everyone seemed to hold the same opinion that it is a slur. is true in all situations?
"I’d like to mainly highlight black culture in America. I am not racist, because I don’t care about their skin color. Although, black American culture is a harmful culture.",clarity,,Overgeneralized Statement,,black American culture is a harmful culture.,,,,,,Why do you think black American culture is a harmful culture. is true in all situations?,,Why do you think black American culture is a harmful culture. is true in all situations?
Because it's one shared nation with values and culture. That is the only basis of a nation that exists. Only the shared culture and values.,clarity,Vague or Ambiguous Terms,,Because it's one shared nation with values and culture.,,,,,,Do you think the general public would understand what you mean by Because it's one shared nation with values and culture.?,,Do you think the general public would understand what you mean by Because it's one shared nation with values and culture.?,
Because it's one shared nation with values and culture. That is the only basis of a nation that exists. Only the shared culture and values.,clarity,Vague or Ambiguous Terms,Overgeneralized Statement,it's,That is the only basis of a nation that exists.,,,,,Do you think the general public would understand what you mean by it's?,Why do you think That is the only basis of a nation that exists. is true in all situations?,Do you think the general public would understand what you mean by it's?,Why do you think That is the only basis of a nation that exists. is true in all situations?
Because it's one shared nation with values and culture. That is the only basis of a nation that exists. Only the shared culture and values.,clarity,,Overgeneralized Statement,,That is the only basis of a nation that exists.,,,,,,Why do you think That is the only basis of a nation that exists. is true in all situations?,,Why do you think That is the only basis of a nation that exists. is true in all situations?
Because I have to look at someones skin color to decide whether the use of the n-word is acceptable or not. Even if it was said with the exact same intention. You can't know someone's intention without taking context into account.,clarity,,Overgeneralized Statement,,You can't know someone's intention without taking context into account.,,,,,,Why do you think You can't know someone's intention without taking context into account. is true in all situations?,,Why do you think You can't know someone's intention without taking context into account. is true in all situations?
Gender roles aren't something we just randomly came up with because we liked it. Men and women do behave differently.,clarity,,Overgeneralized Statement,,Men and women do behave differently.,,,,,,Why do you think Men and women do behave differently. is true in all situations?,,Why do you think Men and women do behave differently. is true in all situations?
"😳 uh, no race has a specific smell. You probably just smelled people who ate similar things and assumed it was because they were black. And there's a word for making assumptions about people based on skin color...",clarity,,Overgeneralized Statement,,You probably just smelled people who ate similar things and assumed it was because they were black,,,,,,Why do you think You probably just smelled people who ate similar things and assumed it was because they were black is true in all situations?,,Why do you think You probably just smelled people who ate similar things and assumed it was because they were black is true in all situations?
"I think it is because women are different then men. Women, usually, are weaker then men, which is why they have different sport teams. Women usually behave differently then men, and they will probably take a different job since their brains work differently.",clarity,Vague or Ambiguous Terms,Overgeneralized Statement,"Women, usually, are weaker then men,","Women, usually, are weaker then men,",,,,,"Do you think the general public would understand what you mean by Women, usually, are weaker then men,?","Why do you think Women, usually, are weaker then men, is true in all situations?","Do you think the general public would understand what you mean by Women, usually, are weaker then men,?","Why do you think Women, usually, are weaker then men, is true in all situations?"
Everyone seems to be obsessed with games being more open world but I think it lowers the quality significantly. Linear games have more attention to details because there is less space to be in.,clarity,Vague or Ambiguous Terms,Overgeneralized Statement,Linear games,Linear games have more attention to details because there is less space to be in.,,,,,Do you think the general public would understand what you mean by Linear games?,Why do you think Linear games have more attention to details because there is less space to be in. is true in all situations?,Do you think the general public would understand what you mean by Linear games?,Why do you think Linear games have more attention to details because there is less space to be in. is true in all situations?
"Buying a new car is a better financial decision because 1. A car with the latest safety and mileage features saves future costs, 2.",clarity,,Overgeneralized Statement,,Buying a new car is a better financial decision,,,,,,Why do you think Buying a new car is a better financial decision is true in all situations?,,Why do you think Buying a new car is a better financial decision is true in all situations?
"The status quo is that there hasn’t been socialized medicine and human civilization has advanced thus far. Yet, there is no monopoly on healthcare. However, a monopoly on force is required to have peace.",clarity,Vague or Ambiguous Terms,Overgeneralized Statement,socialized medicine,monopoly on force is required to have peace.,,,,,Do you think the general public would understand what you mean by socialized medicine?,Why do you think monopoly on force is required to have peace. is true in all situations?,Do you think the general public would understand what you mean by socialized medicine?,Why do you think monopoly on force is required to have peace. is true in all situations?
"I say 'most altcoins' and not cryptocurrency because I see some value in the idea of cryptocurrency or at least understand the attractiveness of it. I am talking about alt coins like the squid game coin, shiba inu, dogecoin etc. that people only buy to make money or as an investment.",clarity,,Overgeneralized Statement,,people only buy to make money or as an investment.,,,,,,Why do you think people only buy to make money or as an investment. is true in all situations?,,Why do you think people only buy to make money or as an investment. is true in all situations?
"I know this is a touchy subject, but I need to share my take on the matter. I know the moral imperative behind wanting to keep ones trans status hidden from partners due to privacy, but the safety risks of not disclosing make it necessary to share this info.",clarity,Vague or Ambiguous Terms,Overgeneralized Statement,safety risks of not disclosing make it necessary to share this info.,make it necessary to share this info.,,,,,Do you think the general public would understand what you mean by safety risks of not disclosing make it necessary to share this info.?,Why do you think make it necessary to share this info. is true in all situations?,Do you think the general public would understand what you mean by safety risks of not disclosing make it necessary to share this info.?,Why do you think make it necessary to share this info. is true in all situations?
"This is one of dumbest things I have heard in a long time. Seriously!?!? Slavery was legal AND wrong, marrying the person you raped to make it OK by the government/cult is still fucking wrong, and killing anyone for any reason is murder. Just because it is considered ""justice"" it is still murder.",clarity,Vague or Ambiguous Terms,Overgeneralized Statement,justice,"Slavery was legal AND wrong, marrying the person you raped to make it OK by the government/cult is still fucking wrong, and killing anyone for any reason is murder. Just because it is considered ""justice"" it is still murder.",,,,,Do you think the general public would understand what you mean by justice?,"Why do you think Slavery was legal AND wrong, marrying the person you raped to make it OK by the government/cult is still fucking wrong, and killing anyone for any reason is murder. Just because it is considered ""justice"" it is still murder. is true in all situations?",Do you think the general public would understand what you mean by justice?,"Why do you think Slavery was legal AND wrong, marrying the person you raped to make it OK by the government/cult is still fucking wrong, and killing anyone for any reason is murder. Just because it is considered ""justice"" it is still murder. is true in all situations?"
"Islamophobia is the irrational dislike, fear of, or hatred of all Muslims. Criticizing some Muslims is not Islamophobia because demonstrably awful Muslims exist, and so criticizing those people is rational.",clarity,,Overgeneralized Statement,,demonstrably awful Muslims exist,,,,,,Why do you think demonstrably awful Muslims exist is true in all situations?,,Why do you think demonstrably awful Muslims exist is true in all situations?
"Okay, so your conclusion is that the same rules dont apply to human + dog interactions is because dogs have no concept of human interaction when it comes to consent. So they cannot consent. I base my idea of abuse of dogs and neglect of dogs by a human concept of neglect and abuse.",clarity,Vague or Ambiguous Terms,Overgeneralized Statement,rules,dogs have no concept of human interaction when it comes to consen,,,,,Do you think the general public would understand what you mean by rules?,Why do you think dogs have no concept of human interaction when it comes to consen is true in all situations?,Do you think the general public would understand what you mean by rules?,Why do you think dogs have no concept of human interaction when it comes to consen is true in all situations?
"Because he has consistently been topping the polls. As far as how he fares against Hillary, those numbers have been fluctuating quite a bit. One week it's Trump, another it's Hillary.",assumptions,,Bias and Subjectivity,,he has consistently been topping the polls,,,,,,"Are you assuming he has consistently been topping the polls because of personal experience or preference?
Opinion",,"Are you assuming he has consistently been topping the polls because of personal experience or preference?
Opinion?"
"I know it's about 10 years too late but I've always had a problem with people saying Obama is the first black president because it's just factually untrue. Since he's 50/50 (half black, half white) that means he's the first interracial president but he's certainly not black.",assumptions,,,,,,,,,,,,
There are literally no other circumstances where we force women to give up their bodily autonomy and medical health so someone else can live. I don't like this argument because there COULD be circumstances where we would.,assumptions,Implicit Existence,Bias and Subjectivity,no other circumstances where we force women to give up their bodily autonomy and medical health,no other circumstances where we force women to give up their bodily autonomy and medical health,,,,,Are you implicitly assuming that no other circumstances where we force women to give up their bodily autonomy and medical health is always the case?,"Are you assuming no other circumstances where we force women to give up their bodily autonomy and medical health because of personal experience or preference?
Opinion",Are you implicitly assuming that no other circumstances where we force women to give up their bodily autonomy and medical health is always the case?,"Are you assuming no other circumstances where we force women to give up their bodily autonomy and medical health because of personal experience or preference?
Opinion?"
Because you don't bring pepper spray to a gun fight. If the offender has a gun you will get yourself into serious danger by only being able to defend yourself with a beanbag round.,assumptions,Implicit Existence,Bias and Subjectivity,If the offender has a gun you will get yourself into serious danger,If the offender has a gun you will get yourself into serious danger,,,,,Are you implicitly assuming that If the offender has a gun you will get yourself into serious danger is always the case?,"Are you assuming If the offender has a gun you will get yourself into serious danger because of personal experience or preference?
Opinion",Are you implicitly assuming that If the offender has a gun you will get yourself into serious danger is always the case?,"Are you assuming If the offender has a gun you will get yourself into serious danger because of personal experience or preference?
Opinion?"
"Are you arguing that an AR-15 is not a more capable weapon than a pistol just because pistols are used more often? That's a bizarre position to take, and one simply not supported by any reasonable argument I can think of.",assumptions,,Bias and Subjectivity,,"That's a bizarre position to take,",,,,,,"Are you assuming That's a bizarre position to take, because of personal experience or preference?
Opinion",,"Are you assuming That's a bizarre position to take, because of personal experience or preference?
Opinion?"
