,,Others Stakeholder Perspective,Temporal Contrast,Vague or Ambiguous Terms for General Public?,Overgeneralizing statement ,Implicit Existence,Bias and Subjectivity,"Questionable Cause-Effect Relationship? (Consequence farfetched?, etc)",Causality Flipped?,Lacks Evidence?,"Quality of Evidence Provided
The provided evidence is weak.",complete,comments
"Also , it is increasingly clear that the planet was significantly warmer than today several times during the past 10,000 years .",intentional,,,,"Also , it is increasingly clear that the planet was significantly warmer than today several times during the past 10,000 years .","the planet was significantly warmer than today several times during the past 10,000 years .","the planet was significantly warmer than today several times during the past 10,000 years .",,,"Also , it is increasingly clear that the planet was significantly warmer than today several times during the past 10,000 years .",,Yes,
"The IPCC acknowledged in its own 2007 report that
“ The long-term prediction of future climate states is not possible . ”",intentional,The long-term prediction of future climate states is not possible,The long-term prediction of future climate states is not possible,IPCC,The long-term prediction of future climate states is not possible,The long-term prediction of future climate states is not possible,The long-term prediction of future climate states is not possible,,,,,Yes,
"And even today , 17 years later , a substantial portion of the American public remains unaware or unconvinced it is happening .",fallacy of extension, a substantial portion of the American public remains unaware or unconvinced it is happening ., a substantial portion of the American public remains unaware or unconvinced it is happening .,it,a substantial portion of the American public remains unaware or unconvinced it is happening,a substantial portion of the American public remains unaware or unconvinced it is happening,a substantial portion of the American public remains unaware or unconvinced it is happening,,,a substantial portion of the American public remains unaware or unconvinced it is happening,,Yes,
The question is whether any climate scientists or environmentalists — who are entirely wedded to the idea that industrialization is destroying the planet — would ever admit this .,fallacy of extension,climate scientists or environmentalists — who are entirely wedded to the idea that industrialization is destroying the planet,climate scientists or environmentalists — who are entirely wedded to the idea that industrialization is destroying the planet,this,climate scientists or environmentalists — who are entirely wedded to the idea that industrialization is destroying the planet,climate scientists or environmentalists — who are entirely wedded to the idea that industrialization is destroying the planet,climate scientists or environmentalists — who are entirely wedded to the idea that industrialization is destroying the planet,,,,,Yes,
"Meanwhile , over the last decade , scientists outside of climate physics have jumped on the
bandwagon , publishing papers blaming global warming for everything from acne to the Syrian
civil war .",intentional,"blaming global warming for everything from acne to the Syrian
civil war .","blaming global warming for everything from acne to the Syrian
civil war .",scientists outside of climate physics,"blaming global warming for everything from acne to the Syrian
civil war","blaming global warming for everything from acne to the Syrian
civil war .","blaming global warming for everything from acne to the Syrian
civil war .",,,"over the last decade , scientists outside of climate physics have jumped on the
bandwagon , publishing papers blaming global warming for everything from acne to the Syrian
civil war .",,Yes,
Climate projections also assume that planet Earth is not dynamic and that a temporary terrestrial vertebrate on an evolving planet can change major planetary and extraterrestrial systems .,intentional,planet Earth is not dynamic,planet Earth is not dynamic,a temporary terrestrial vertebrate,Climate projections also assume that planet Earth is not dynamic and that a temporary terrestrial vertebrate on an evolving planet can change major planetary and extraterrestrial systems .,Climate projections also assume that planet Earth is not dynamic and that a temporary terrestrial vertebrate on an evolving planet can change major planetary and extraterrestrial systems .,Climate projections also assume that planet Earth is not dynamic and that a temporary terrestrial vertebrate on an evolving planet can change major planetary and extraterrestrial systems .,,,Climate projections also assume that planet Earth is not dynamic and that a temporary terrestrial vertebrate on an evolving planet can change major planetary and extraterrestrial systems .,,Yes,
"Since all the data that Mr. Koonin uses are available to others , he poses the obvious question : “ Why haven ’ t you heard these facts before ? ”",intentional,,all the data that Mr. Koonin uses are available to others ,these facts,,,,,,all the data that Mr. Koonin uses are available to others,,Yes,
The research also finds that enormous changes to farming are needed to avoid destroying the planet ’ s ability to feed the 10 billion people expected to be on the planet in a few decades .,intentional,enormous changes to farming are needed to avoid destroying the planet ’ s ability to feed the 10 billion people expected to be on the planet in a few decades .,enormous changes to farming,The research,enormous changes to farming are needed to avoid destroying the planet ’ s ability to feed the 10 billion people expected to be on the planet in a few decades,enormous changes to farming are needed to avoid destroying the planet ’ s ability to feed the 10 billion people expected to be on the planet in a few decades,enormous changes to farming are needed to avoid destroying the planet ’ s ability to feed the 10 billion people expected to be on the planet in a few decades,enormous changes to farming,,,research,Yes,
Said Hayhoe : “ The biggest myth that the largest number of people have bought into is that ‘ climate change doesn ’ t matter to me personally. ’ ”,intentional,The biggest myth that the largest number of people have bought into is that ‘ climate change doesn ’ t matter to me personally.,The biggest myth that the largest number of people have bought into is that ‘ climate change doesn ’ t matter to me personally.,Hayhoe,The biggest myth that the largest number of people have bought into is that ‘ climate change doesn ’ t matter to me personally. ’,The biggest myth that the largest number of people have bought into is that ‘ climate change doesn ’ t matter to me personally. ’,The biggest myth that the largest number of people have bought into is that ‘ climate change doesn ’ t matter to me personally. ’,,,,Said Hayhoe,Yes,
"Global warming activists do not extend “ the record ” back any further , they say , because it has only been since the late 1800s that we have had a global network of mercury thermometers .",faulty generalization,Global warming activists do not extend “ the record ” back any further ,Global warming activists do not extend “ the record ” back any further ,the record,Global warming activists do not extend “ the record ” back any further ,Global warming activists do not extend “ the record ” back any further ,Global warming activists do not extend “ the record ” back any further ,,,,they say,Yes,
"Worst-case global heating scenarios may need to be revised upwards in light of a better understanding of the role of clouds , scientists have said .",fallacy of credibility,Worst-case global heating scenarios may need to be revised upwards in light of a better understanding of the role of clouds ,Worst-case global heating scenarios may need to be revised upwards in light of a better understanding of the role of clouds ,scientists,,Worst-case global heating scenarios may need to be revised upwards in light of a better understanding of the role of clouds,,,,,scientists have said,Yes,
"While reading how flawed EDF ’ s assertions are , remember these are the very best arguments global warming alarmists can make .",ad hominem,how flawed EDF ’ s assertions,how flawed EDF ’ s assertions,these,these are the very best arguments global warming alarmists can make,these are the very best arguments global warming alarmists can make,these are the very best arguments global warming alarmists can make,,,,reading,Yes,
"This debate — as I argue at some length in Watermelons — was always about left-wing ideology , quasi-religious hysteria , and “ follow the money ” corruption , never about “ science . ”",fallacy of extension,"This debate — as I argue at some length in Watermelons — was always about left-wing ideology , quasi-religious hysteria , and “ follow the money ” corruption , never about “ science . ”",,quasi-religion hysteria ,"was always about left-wing ideology , quasi-religious hysteria , and “ follow the money ” corruption , never about “ science . ”","was always about left-wing ideology , quasi-religious hysteria , and “ follow the money ” corruption , never about “ science . ”","was always about left-wing ideology , quasi-religious hysteria , and “ follow the money ” corruption , never about “ science . ”",,,,I argue at some length in Watermelons,Yes,
My close examination of recent research has revealed that serious inconsistencies exist within the polar bear literature and between that literature and public statements made by some researchers .,fallacy of relevance,serious inconsistencies exist within the polar bear literature and between that literature and public statements made by some researchers .,serious inconsistencies exist within the polar bear literature and between that literature and public statements made by some researchers .,recent research,serious inconsistencies exist within the polar bear literature and between that literature and public statements made by some researchers,serious inconsistencies exist within the polar bear literature and between that literature and public statements made by some researchers,serious inconsistencies exist within the polar bear literature and between that literature and public statements made by some researchers,,,,My close examination of recent research,Yes,
"Once again , the data does not support the claim that the United States is hotter than ever as a result of rising Carbon dioxide levels .",fallacy of relevance,the data does not support the claim that the United States is hotter than ever as a result of rising Carbon dioxide levels .,,the data,,,the data does not support the claim that the United States is hotter than ever as a result of rising Carbon dioxide levels ,,,the data does not support the claim that the United States is hotter than ever as a result of rising Carbon dioxide levels .,,Yes,
We are not living in a period of catastrophic climate change . The past tells us it ’ s business as usual .,fallacy of credibility,We are not living in a period of catastrophic climate change,We are not living in a period of catastrophic climate change, tells us it ’ s business as usual,We are not living in a period of catastrophic climate change .,We are not living in a period of catastrophic climate change .,We are not living in a period of catastrophic climate change .,,,,The past tells us it ’ s business as usual .,Yes,
"You don ’ t worry much about dengue or malaria if you are living in Maine or France . But as the tropics creep northward and mosquitoes migrate with them , you will .",appeal to emotion,You don ’ t worry much about dengue or malaria if you are living in Maine or France,You don ’ t worry much about dengue or malaria if you are living in Maine or France,,You don ’ t worry much about dengue or malaria if you are living in Maine or France,You don ’ t worry much about dengue or malaria if you are living in Maine or France,You don ’ t worry much about dengue or malaria if you are living in Maine or France,,,You don ’ t worry much about dengue or malaria if you are living in Maine or France ,,Yes,
"Already , more than 10,000 people die each day from the small particles emitted from fossil-fuel burning ; each year , 339,000 people die from wildfire smoke , in part because climate change has extended forest-fire season ( in the U.S. , it ’ s increased by 78 days since 1970 ) .",false causality,,,,,in part because climate change has extended forest-fire season ,in part because climate change has extended forest-fire season ,in part because climate change has extended forest-fire season ,,, ,Yes,
"For his efforts , Pielke was subjected to a vicious , well-funded smear campaign backed by , among others , the Obama White House and leading Democratic congressmen , culminating in his decision in 2015 to quit the field .",appeal to emotion," Pielke was subjected to a vicious , well-funded smear campaign",,leading Democratic congressmen,,,"Pielke was subjected to a vicious , well-funded smear campaign",,,"For his efforts , Pielke was subjected to a vicious , well-funded smear campaign backed by , among others , the Obama White House and leading Democratic congressmen , culminating in his decision in 2015 to quit the field .",,Yes,
"“ The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real , ” said Mr. Tuckman , the founder of a company offering creative services to the retail industry .",fallacy of credibility,"The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real","The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real","what ’ s going to happen over the next 20 , 30 , 40 years","The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real","The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real","The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real",,,,"Mr. Tuckman , the founder of a company offering creative services to the retail industry .",Yes,
"Severe storms , floods and agricultural losses may cost a great deal of money , but such extreme weather events – and their resulting costs – are dramatically declining as the Earth modestly warms . Accordingly , EDF ’ s asserted economic costs are actually economic benefits .",intentional,such extreme weather events – and their resulting costs – are dramatically declining as the Earth modestly warms ,such extreme weather events – and their resulting costs – are dramatically declining as the Earth modestly warms ,EDF ’ s,such extreme weather events – and their resulting costs – are dramatically declining ,such extreme weather events – and their resulting costs – are dramatically declining ,such extreme weather events – and their resulting costs – are dramatically declining ,Earth modestly warms,,,as the Earth modestly warms,Yes,
"In return for crippling our economy , the Paris Agreement would do next to nothing to impact global temperatures .",faulty generalization,the Paris Agreement would do next to nothing to impact global temperatures .,the Paris Agreement would do next to nothing to impact global temperatures .,Paris Agreement,the Paris Agreement would do next to nothing to impact global temperatures .,the Paris Agreement would do next to nothing to impact global temperatures .,the Paris Agreement would do next to nothing to impact global temperatures .,,,"In return for crippling our economy , the Paris Agreement would do next to nothing to impact global temperatures .",,Yes,
"This increase may not be statistically significant , but it is decidedly not the 67-per-cent decline that was predicted given the ice conditions that prevailed .",fallacy of relevance,,,This increase,,,This increase may not be statistically significant,,,This increase may not be statistically significant,,Yes,
"Unfortunately , because of back to back mass bleaching events , scientists are telling us that the massive , impressive Australian Great Barrier Reef is now at a ‘ terminal stage ’ —with large portions having no hope of recovery .",appeal to emotion,because of back to back mass bleaching events ,no hope of recovery .,terminal stage,,large portions having no hope of recovery .,large portions having no hope of recovery .,back to back mass bleaching,,,back to back mass bleaching events,Yes,
"The warmer the planet gets , the more ozone forms , and by mid-century , Americans will likely suffer a 70 percent increase in unhealthy ozone smog , the National Center for Atmospheric Research has projected .",fallacy of credibility,,"The warmer the planet gets , the more ozone forms ",,Americans will likely suffer a 70 percent increase in unhealthy ozone smog,"The warmer the planet gets , the more ozone forms ","The warmer the planet gets , the more ozone forms ",The warmer the planet gets,,,,Yes,The warmer the planet gets => ozone forms => Americans will likely suffer ...
"These zealots would like you to believe that due to fossil fuel emissions , summers are now longer and hotter while winters are shorter and milder .",ad hominem,"These zealots would like you to believe that due to fossil fuel emissions , summers are now longer and hotter while winters are shorter and milder .","These zealots would like you to believe that due to fossil fuel emissions , summers are now longer and hotter while winters are shorter and milder .",These zealots,"These zealots would like you to believe that due to fossil fuel emissions , summers are now longer and hotter while winters are shorter and milder .","These zealots would like you to believe that due to fossil fuel emissions , summers are now longer and hotter while winters are shorter and milder .","These zealots would like you to believe that due to fossil fuel emissions , summers are now longer and hotter while winters are shorter and milder .",,,"These zealots would like you to believe that due to fossil fuel emissions , summers are now longer and hotter while winters are shorter and milder .",,Yes,
"In the meantime , the agreement would force American taxpayers to subsidize alternative energy at the expense of clean coal , nuclear power and natural gas – energy resources that actually work for our economy and our environment .",fallacy of extension,"clean coal , nuclear power and natural gas – energy resources that actually work for our economy and our environment .","clean coal , nuclear power and natural gas – energy resources that actually work for our economy and our environment .",the agreement,"clean coal , nuclear power and natural gas – energy resources that actually work for our economy and our environment .","clean coal , nuclear power and natural gas – energy resources that actually work for our economy and our environment .","clean coal , nuclear power and natural gas – energy resources that actually work for our economy and our environment .",the agreement,,"clean coal , nuclear power and natural gas – energy resources that actually work for our economy and our environment .",,Yes,
"“ When we distract our military with a radical climate change agenda , we detract from their main purpose of defending America from enemies ” like the Islamic State , said Mr. Buck of Colorado , the Republican congressman who sponsored the measure .",fallacy of relevance,"When we distract our military with a radical climate change agenda , we detract from their main purpose of defending America from enemies ” like the Islamic State","When we distract our military with a radical climate change agenda , we detract from their main purpose of defending America from enemies ” like the Islamic State",the measure,"“ When we distract our military with a radical climate change agenda , we detract from their main purpose of defending America from enemies ”","“ When we distract our military with a radical climate change agenda , we detract from their main purpose of defending America from enemies ”","“ When we distract our military with a radical climate change agenda , we detract from their main purpose of defending America from enemies ”",distract our military with a radical climate change agenda,,,"Mr. Buck of Colorado , the Republican congressman who sponsored the measure",Yes,
"While reading how flawed EDF ’ s assertions are , remember these are the very best arguments global warming alarmists can make .",intentional,how flawed EDF ’ s assertions are,how flawed EDF ’ s assertions are,EDF ’ s,"While reading how flawed EDF ’ s assertions are , remember these are the very best arguments global warming alarmists can make .","While reading how flawed EDF ’ s assertions are , remember these are the very best arguments global warming alarmists can make .","While reading how flawed EDF ’ s assertions are , remember these are the very best arguments global warming alarmists can make .",,,"While reading how flawed EDF ’ s assertions are , remember these are the very best arguments global warming alarmists can make .",,Yes,
Anew study produced by a University of Wisconsin-Madison geoscientist and Northwestern astrophysicist presents an explanation of the fluctuations of the earth 's temperatures that global warming alarmists are going to make sure to bury :,fallacy of credibility,global warming alarmists are going to make sure to bury,global warming alarmists are going to make sure to bury,Anew study,global warming alarmists are going to make sure to bury,global warming alarmists are going to make sure to bury,global warming alarmists are going to make sure to bury,,,global warming alarmists are going to make sure to bury,,Yes,
"A rapid disintegration of Antarctica might , in the worst case , cause the sea to rise so fast that tens of millions of coastal refugees would have to flee inland , potentially straining societies to the breaking point .",ad populum,,,the breaking point,"A rapid disintegration of Antarctica might , in the worst case , cause the sea to rise so fast that tens of millions of coastal refugees would have to flee inland , potentially straining societies to the breaking point .","A rapid disintegration of Antarctica might , in the worst case , cause the sea to rise so fast that tens of millions of coastal refugees would have to flee inland , potentially straining societies to the breaking point .",,,,"A rapid disintegration of Antarctica might , in the worst case , cause the sea to rise so fast that tens of millions of coastal refugees would have to flee inland , potentially straining societies to the breaking point .",,Yes,
"“ We ’ re putting enough heat in the ocean to send water over us , no question , ” Dr. Stoddard said . “ Ultimately , we give up and we leave .",appeal to emotion,“ We ’ re putting enough heat in the ocean to send water over us ,“ We ’ re putting enough heat in the ocean to send water over us ,send water over us,We ’ re putting enough heat in the ocean to send water over us ,We ’ re putting enough heat in the ocean to send water over us ,We ’ re putting enough heat in the ocean to send water over us ,putting enough heat in the ocean,,,Dr. Stoddard,Yes,
"We may be able to raise the Thames barrier in Britain but in Bangladesh , it just means more and more people will be drowned .",appeal to emotion,"in Bangladesh , it just means more and more people will be drowned .","in Bangladesh , it just means more and more people will be drowned .",more people will be drowned,,"in Bangladesh , it just means more and more people will be drowned .","in Bangladesh , it just means more and more people will be drowned .",raise the Thames barrier,,We may be able to raise the Thames barrier in Britain,,Yes,
"Americans receive a daily barrage from the fake news media and climate “ experts ” reporting that each and every day , week , month or year is the hottest on record due to global warming .",fallacy of extension,Americans receive a daily barrage from the fake news media ,Americans receive a daily barrage from the fake news media ,climate “ experts ”,Americans receive a daily barrage from the fake news media,Americans receive a daily barrage from the fake news media,Americans receive a daily barrage from the fake news media,,,Americans receive a daily barrage from the fake news media,,Yes,
"Instead of negotiating over climate change policies and trying to make them more market-oriented , some political conservatives have taken the approach of blocking them by trying to undermine the science .",circular reasoning,some political conservatives have taken the approach of blocking them by trying to undermine the science,some political conservatives have taken the approach of blocking them by trying to undermine the science,,,, some political conservatives have taken the approach of blocking them by trying to undermine the science .,,,some political conservatives have taken the approach of blocking them by trying to undermine the science,,Yes,
"Even in our own lifetimes , there is no relationship between temperature and carbon dioxide emissions by ­humans , yet there is a very close relationship between solar activity and temperature .",intentional, there is no relationship between temperature and carbon dioxide emissions by ­humans, there is no relationship between temperature and carbon dioxide emissions by ­humans,, there is no relationship between temperature and carbon dioxide emissions by ­humans , there is no relationship between temperature and carbon dioxide emissions by ­humans , there is no relationship between temperature and carbon dioxide emissions by ­humans ,,, there is no relationship between temperature and carbon dioxide emissions by ­humans ,,Yes,
"It has now , even after Hurricane Matthew , been over 4,000 days since a major hurricane ( Category 3 or stronger ) has made landfall in the U.S . Sea level rise , which was occurring long before humans could be blamed , has not accelerated and still amounts to only 1 inch every ten years .",ad populum,"Sea level rise , which was occurring long before humans could be blamed",,,"Sea level rise , which was occurring long before humans could be blamed , has not accelerated","Sea level rise , which was occurring long before humans could be blamed","Sea level rise , which was occurring long before humans could be blamed",,,"It has now , even after Hurricane Matthew , been over 4,000 days since a major hurricane ( Category 3 or stronger ) has made landfall in the U.S .",,Yes,
"That is , the adjusted data used by alarmist organizations like NASA , NOAA , and the UK Met Office differs so markedly from the original raw data that it can not be trusted .",ad hominem,it cannot be trusted,it cannot be trusted,the adjusted data used by alarmist organizations,"the adjusted data used by alarmist organizations like NASA , NOAA , and the UK Met Office differs so markedly from the original raw data","the adjusted data used by alarmist organizations like NASA , NOAA , and the UK Met Office differs so markedly from the original raw data","the adjusted data used by alarmist organizations like NASA , NOAA , and the UK Met Office differs so markedly from the original raw data",,,,"the adjusted data used by alarmist organizations like NASA , NOAA , and the UK Met Office differs so markedly from the original raw data",Yes,
"For the past 500 million years , the atmospheric carbon dioxide content has been decreasing and if we halved today ’ s atmospheric carbon dioxide content , all life would die .",false dilemma,"if we halved today ’ s atmospheric carbon dioxide content , all life would die .","if we halved today ’ s atmospheric carbon dioxide content , all life would die .",,"if we halved today ’ s atmospheric carbon dioxide content , all life would die ","if we halved today ’ s atmospheric carbon dioxide content , all life would die ","if we halved today ’ s atmospheric carbon dioxide content , all life would die ",halved today ’ s atmospheric carbon dioxide content,,"For the past 500 million years , the atmospheric carbon dioxide content has been decreasing",,Yes,
"In other words , record-breaking temperatures this year are specifically from El Niño , but the general increase in global temperatures is part of the trend due to climate change .",fallacy of logic,the general increase in global temperatures is part of the trend due to climate change .,the general increase in global temperatures is part of the trend due to climate change .,this year,the general increase in global temperatures is part of the trend due to climate change ,the general increase in global temperatures is part of the trend due to climate change ,the general increase in global temperatures is part of the trend due to climate change ,,,record-breaking temperatures this year are specifically from El Niño,,Yes,
"For the past 4567 million years , the sun and the Earth ’ s orbit have driven climate change cycles .",intentional,,,,,,,,,"For the past 4567 million years , the sun and the Earth ’ s orbit have driven climate change cycles .",,Yes,
He said : “ Cooling from 2019 into about 2020 to 2021 will bring world temperatures back to where they were in the 1940s through the 1960s .,intentional,Cooling from 2019 into about 2020 to 2021 will bring world temperatures back to where they were in the 1940s through the 1960s,Cooling from 2019 into about 2020 to 2021 will bring world temperatures back to where they were in the 1940s through the 1960s,He,Cooling from 2019 into about 2020 to 2021 will bring world temperatures back to where they were in the 1940s through the 1960s,Cooling from 2019 into about 2020 to 2021 will bring world temperatures back to where they were in the 1940s through the 1960s,Cooling from 2019 into about 2020 to 2021 will bring world temperatures back to where they were in the 1940s through the 1960s,Cooling from 2019 into about 2020 to 2021,,Cooling from 2019 into about 2020 to 2021 will bring world temperatures back to where they were in the 1940s through the 1960s,He,Yes,
"And the great middle can be excused for realizing that obsessing about climate change is avoiding a frank discussion about the here-and-now problems of budget deficits , the federal debt , school choice , entitlement reform , and so on .",fallacy of logic,"the great middle can be excused for realizing that obsessing about climate change is avoiding a frank discussion about the here-and-now problems of budget deficits , the federal debt , school choice , entitlement reform , and so on .","the great middle can be excused for realizing that obsessing about climate change is avoiding a frank discussion about the here-and-now problems of budget deficits , the federal debt , school choice , entitlement reform , and so on .",the great middle, the great middle can be excused,"the great middle can be excused for realizing that obsessing about climate change is avoiding a frank discussion about the here-and-now problems of budget deficits , the federal debt , school choice , entitlement reform , and so on .",,"realizing that obsessing about climate change is avoiding a frank discussion about the here-and-now problems of budget deficits , the federal debt , school choice , entitlement reform , and so on .",,,"realizing that obsessing about climate change is avoiding a frank discussion about the here-and-now problems of budget deficits , the federal debt , school choice , entitlement reform , and so on .",Yes,
