instruction,input,output
Classify the argument and identify relevant spans.,There are different theories of what oppression is and what causes it. 2nd wave feminist often argue that because we live in a patriarchy you can't separate a woman's sexuality from the oppressive male centric culture.,"Classification: ['Vague or Ambiguous Terms']
Span: ['2nd wave feminist']"
Classify the argument and identify relevant spans.,Science ends up finding answers. Answers that are thoroughly tested and proven. And thus answers we can trust are probably correct. Eg. science has found out Earth is a globe.,"Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['we can trust are probably correct.', 'Science ends up finding answers.']"
Classify the argument and identify relevant spans.,"Interesting chart. I have a problem with the ""I'm not sure"" - ""Theism only applies to those who have an active belief"" Sometimes I do things because I believe in the existence of God and some days I don't. E.g. I pray sometimes when under great stress.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,I’m the single mother and have a 12yr old son. I think about this everyday raising him. I acknowledge that my view may be ..skewed due to personal experiences.,"Classification: ['Overgeneralized Statement']
Span: ['my view may be ..skewed due to personal experiences.']"
Classify the argument and identify relevant spans.,"There are anti-vax people, including but not always limited to the COVID vaccines Which have been marginalized because vaccines work and don't cause autism like they claim. The people in the second group have an argument independent of medicine or science.","Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['The people in the second group', 'The people in the second group have an argument independent of medicine or science.']"
Classify the argument and identify relevant spans.,"She says ""I'm just sick of how men sexually assault people"". This statement is not identical to ""I'm just sick of how all men sexually assault people"" is it? Just because the statements aren't identical doesn't mean they don't convey the same message.","Classification: ['Overgeneralized Statement']
Span: ['""I\'m just sick of how men sexually assault people"".']"
Classify the argument and identify relevant spans.,I made a post on r/AITA and it got removed because I used the word tranny. I was called a homophobe because I told people about how I was trapped and deceived by a transsexual. Everyone seemed to hold the same opinion that it is a slur.,"Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['r/AITA', 'Everyone seemed to hold the same opinion that it is a slur.']"
Classify the argument and identify relevant spans.,"I’d like to mainly highlight black culture in America. I am not racist, because I don’t care about their skin color. Although, black American culture is a harmful culture.","Classification: ['Overgeneralized Statement']
Span: ['black American culture is a harmful culture.']"
Classify the argument and identify relevant spans.,Because it's one shared nation with values and culture. That is the only basis of a nation that exists. Only the shared culture and values.,"Classification: ['Vague or Ambiguous Terms']
Span: [""Because it's one shared nation with values and culture.""]"
Classify the argument and identify relevant spans.,Because it's one shared nation with values and culture. That is the only basis of a nation that exists. Only the shared culture and values.,"Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: [""it's"", 'That is the only basis of a nation that exists.']"
Classify the argument and identify relevant spans.,Because it's one shared nation with values and culture. That is the only basis of a nation that exists. Only the shared culture and values.,"Classification: ['Overgeneralized Statement']
Span: ['That is the only basis of a nation that exists.']"
Classify the argument and identify relevant spans.,Because I have to look at someones skin color to decide whether the use of the n-word is acceptable or not. Even if it was said with the exact same intention. You can't know someone's intention without taking context into account.,"Classification: ['Overgeneralized Statement']
Span: [""You can't know someone's intention without taking context into account.""]"
Classify the argument and identify relevant spans.,Gender roles aren't something we just randomly came up with because we liked it. Men and women do behave differently.,"Classification: ['Overgeneralized Statement']
Span: ['Men and women do behave differently.']"
Classify the argument and identify relevant spans.,"😳 uh, no race has a specific smell. You probably just smelled people who ate similar things and assumed it was because they were black. And there's a word for making assumptions about people based on skin color...","Classification: ['Overgeneralized Statement']
Span: ['You probably just smelled people who ate similar things and assumed it was because they were black']"
Classify the argument and identify relevant spans.,"I think it is because women are different then men. Women, usually, are weaker then men, which is why they have different sport teams. Women usually behave differently then men, and they will probably take a different job since their brains work differently.","Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['Women, usually, are weaker then men,', 'Women, usually, are weaker then men,']"
Classify the argument and identify relevant spans.,Everyone seems to be obsessed with games being more open world but I think it lowers the quality significantly. Linear games have more attention to details because there is less space to be in.,"Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['Linear games', 'Linear games have more attention to details because there is less space to be in.']"
Classify the argument and identify relevant spans.,"Buying a new car is a better financial decision because 1. A car with the latest safety and mileage features saves future costs, 2.","Classification: ['Overgeneralized Statement']
Span: ['Buying a new car is a better financial decision']"
Classify the argument and identify relevant spans.,"The status quo is that there hasn’t been socialized medicine and human civilization has advanced thus far. Yet, there is no monopoly on healthcare. However, a monopoly on force is required to have peace.","Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['socialized medicine', 'monopoly on force is required to have peace.']"
Classify the argument and identify relevant spans.,"I say 'most altcoins' and not cryptocurrency because I see some value in the idea of cryptocurrency or at least understand the attractiveness of it. I am talking about alt coins like the squid game coin, shiba inu, dogecoin etc. that people only buy to make money or as an investment.","Classification: ['Overgeneralized Statement']
Span: ['people only buy to make money or as an investment.']"
Classify the argument and identify relevant spans.,"I know this is a touchy subject, but I need to share my take on the matter. I know the moral imperative behind wanting to keep ones trans status hidden from partners due to privacy, but the safety risks of not disclosing make it necessary to share this info.","Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['safety risks of not disclosing make it necessary to share this info.', 'make it necessary to share this info.']"
Classify the argument and identify relevant spans.,"This is one of dumbest things I have heard in a long time. Seriously!?!? Slavery was legal AND wrong, marrying the person you raped to make it OK by the government/cult is still fucking wrong, and killing anyone for any reason is murder. Just because it is considered ""justice"" it is still murder.","Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['justice', 'Slavery was legal AND wrong, marrying the person you raped to make it OK by the government/cult is still fucking wrong, and killing anyone for any reason is murder. Just because it is considered ""justice"" it is still murder.']"
Classify the argument and identify relevant spans.,"Islamophobia is the irrational dislike, fear of, or hatred of all Muslims. Criticizing some Muslims is not Islamophobia because demonstrably awful Muslims exist, and so criticizing those people is rational.","Classification: ['Overgeneralized Statement']
Span: ['demonstrably awful Muslims exist']"
Classify the argument and identify relevant spans.,"Okay, so your conclusion is that the same rules dont apply to human + dog interactions is because dogs have no concept of human interaction when it comes to consent. So they cannot consent. I base my idea of abuse of dogs and neglect of dogs by a human concept of neglect and abuse.","Classification: ['Vague or Ambiguous Terms', 'Overgeneralized Statement']
Span: ['rules', 'dogs have no concept of human interaction when it comes to consen']"
Classify the argument and identify relevant spans.,"Because he has consistently been topping the polls. As far as how he fares against Hillary, those numbers have been fluctuating quite a bit. One week it's Trump, another it's Hillary.","Classification: ['Bias and Subjectivity']
Span: ['he has consistently been topping the polls']"
Classify the argument and identify relevant spans.,"I know it's about 10 years too late but I've always had a problem with people saying Obama is the first black president because it's just factually untrue. Since he's 50/50 (half black, half white) that means he's the first interracial president but he's certainly not black.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,There are literally no other circumstances where we force women to give up their bodily autonomy and medical health so someone else can live. I don't like this argument because there COULD be circumstances where we would.,"Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['no other circumstances where we force women to give up their bodily autonomy and medical health', 'no other circumstances where we force women to give up their bodily autonomy and medical health']"
Classify the argument and identify relevant spans.,Because you don't bring pepper spray to a gun fight. If the offender has a gun you will get yourself into serious danger by only being able to defend yourself with a beanbag round.,"Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['If the offender has a gun you will get yourself into serious danger', 'If the offender has a gun you will get yourself into serious danger']"
Classify the argument and identify relevant spans.,"Are you arguing that an AR-15 is not a more capable weapon than a pistol just because pistols are used more often? That's a bizarre position to take, and one simply not supported by any reasonable argument I can think of.","Classification: ['Bias and Subjectivity']
Span: [""That's a bizarre position to take,""]"
Classify the argument and identify relevant spans.,"This is a matter of pure statistics. Uneducated/unintelligent people breed more than educated/intelligent ones. Therefore, whenever I learn that someone has a child, I assume they are less intelligent than I had prior to learning that fact.","Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['Uneducated/unintelligent people breed more than educated/intelligent ones.', 'e they are less intelligent than I had prior to learning that fact.']"
Classify the argument and identify relevant spans.,"There is no perceivable difference, since whether you remain unconscious for all eternity or are reborn into a new person, you wouldn't remember your previous life either way. But I'm not talking about what value there is in such a model, only whether or not that model is true.","Classification: ['Implicit Existence']
Span: ['There is no perceivable difference,']"
Classify the argument and identify relevant spans.,"Hmm, not quite. God of the Gaps is where I say ""Unexplained things are the work of God X is an unexplained thing therefore X is the work of God."" That's not what I argued at all, though. Occam's razor is actually a useful tool for the theist. For theism is really quite a simple explanation.","Classification: ['Bias and Subjectivity']
Span: ['God of the Gaps']"
Classify the argument and identify relevant spans.,"I get it. Stereotyping is bad. But what the fuck is with every little thing being labelled cultural appropriation? A white friend of mine has dreadlocks, and the one and only reason he has dreadlocks is because he likes the style.","Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['what the fuck is with every little thing being labelled cultural appropriation', 'every little thing being labelled cultural appropriation?']"
Classify the argument and identify relevant spans.,"There’s no “long terms” studies on the COVID vaccine because it hasn’t been out for the “long term.” Bruh. Long term in this context could mean 5, 10, or 15+ years. All vaccines can have side affects. Sure it’s doing great work now but we don’t know how it effects the body over time.","Classification: ['Bias and Subjectivity']
Span: ['All vaccines can have side affects.']"
Classify the argument and identify relevant spans.,"If the average weight of a US male is 195, the average weight of male police officers is likely also 195. So lets ignore that many, probably most, officers regularly go to the gym and are therefore stronger than the average sedentary adult.","Classification: ['Implicit Existence']
Span: ['If the average weight of a US male is 195, the average weight of male police officers is likely also 195.']"
Classify the argument and identify relevant spans.,"So I know this is a really, really sensitive subject, I’m not trying to stir up conflict, I’m just having what I believe challenged. Here is why I believe this When I was still in the womb, the doctors recommended that I be aborted because I seemed to be developing abnormally.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"White people, at their best, have no ill will towards black folks but their refusal to acknowledge or ignorance of systematic racism is not helping black people. Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard.","Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['White people, at their best, have no ill will towards black folks', 'White people, at their best, have no ill will towards black folks']"
Classify the argument and identify relevant spans.,"Yes, there are poor people in every race. Nobody is saying you can't help poor white people here. But if you are black you are more likely to he poor due to discrimination.","Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['there are poor people in every race.', 'there are poor people in every race.']"
Classify the argument and identify relevant spans.,"Why do you assume there would be a loss of customers? If large people fly less due to such a rule, it stands to reason that skinny people would fly more.","Classification: ['Implicit Existence']
Span: ['If large people fly less due to such a rule, it stands to reason that skinny people would fly more.']"
Classify the argument and identify relevant spans.,"White people, at their best, have no ill will towards black folks but their refusal to acknowledge or ignorance of systematic racism is not helping black people. Other minorities seem to want to be as white as possible which is sad for them because white is NOT the standard.","Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['White people, at their best, have no ill will towards black folks', 'White people, at their best, have no ill will towards black folks']"
Classify the argument and identify relevant spans.,"I mean you cant help the transphobic framing because what you are saying is transphobic. I appreciate that you are trying to be respectful on some level, but that does not dilute the core point that you do not believe a trans woman is a woman.","Classification: ['Bias and Subjectivity']
Span: ['believe a trans woman is a woman.']"
Classify the argument and identify relevant spans.,Why would you assume my gender? Because it’s a human instinct. We judge people without thinking about it.,"Classification: ['Bias and Subjectivity']
Span: ['We judge people without thinking about it.']"
Classify the argument and identify relevant spans.,"Transracial is not a thing. There is no biological difference between the races of humans, therefore its impossible to feel like another race. There is no ""opinions"" on this matter, this is the scientific consensus.","Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['Transracial is not a thing.', 'Transracial is not a thing.']"
Classify the argument and identify relevant spans.,No she should definitely be able to compete within her weight class because she was born a woman. It is the very fact we can’t determine how much of an effect being born male has on athletics we can’t let them compete fairly.,"Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['she was born a woman', 'she was born a woman']"
Classify the argument and identify relevant spans.,"Or perhaps massive deficit spending? Looking at both the budget deficit and the national debt (I am referring the US), the takeoff on the market coincides with that. So perhaps the stock market performance is due to a transfer of wealth from public to private hands.","Classification: ['Bias and Subjectivity']
Span: ['due to a transfer of wealth from public to private hands.']"
Classify the argument and identify relevant spans.,"Yup... there were public goods before the federal income tax was reenacted in 1913, and they were paid for with, wait for it... taxes. Just because there wasn't income tax doesn't mean there wasn't tax.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,"If I say ""x+1=3 therefore X=2"" and then create a new equation that has ""x"" in it, it's not true that the value of ""x"" persists to the new equation. This is what it means - essentially - to evaluate these separately - don't take the results of one thing and put it into another assumptively.","Classification: ['Implicit Existence']
Span: ['it\'s not true that the value of ""x"" persists to the new equation']"
Classify the argument and identify relevant spans.,"Because sex isn't coal mining or painting a house. Taking a car without consent is theft. Having sex without consent is rape. Not all jobs are created equal, and not all crime is created equal. Prostitution is the only ""job"" where the line between theft and rape gets blurred.","Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['not all crime is created equal.', 'Prostitution is the only ""job"" where the line between theft and rape gets blurred.']"
Classify the argument and identify relevant spans.,"Normally it is my opinion that history is a good guide to predicting the future which is why I don't like the opinion that I hold in this instance. Humanity has yet to unite or to destroy itself, therefore it seems to follow that we DON'T need to unite to survive.","Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['Humanity has yet to unite or to destroy itself,', 'Humanity has yet to unite or to destroy itself,']"
Classify the argument and identify relevant spans.,"Because deer and humans are not of the same species. If all life is not equivalent in value, then the lives of some species must be worth more or less than others.","Classification: ['Bias and Subjectivity']
Span: ['the lives of some species must be worth more or less than others']"
Classify the argument and identify relevant spans.,"This is about hypotheticals. Even if I can't prove to you we aren't all extremely intelligent AIs made to falsely believe to have consciousness, I'm working under the basis our human consciousness is real.","Classification: ['Implicit Existence', 'Bias and Subjectivity']
Span: ['AIs made to falsely believe to have consciousness, I', 'm working under the basis our human consciousness is real.']"
Classify the argument and identify relevant spans.,"I used Catholics as an example of people who are logically against both. In response you've gone on a diatribe about how you don't think God exists and you don't think we can know Him, but that doesn't make the single logical conclusion you posted about wrong.","Classification: []
Span: ['Null']"
Classify the argument and identify relevant spans.,Because phoenix rise from the ashes. Those who did not vote or voted for the lesser of evils will be forced to vote for the best once they have seen how bad a country can burn from their mistakes.,"Classification: ['Lacks Evidence']
Span: ['Those who did not vote or voted for the lesser of evils will be forced to vote for the best once they have seen how bad a country can burn from their mistakes.']"
Classify the argument and identify relevant spans.,It will either be Trump or DeSantis. Ultimately I believe Trump will back DeSantis because Ron is is gaining serious momentum and he is receiving positive praise from leaders across both aisles. My view hinges on why DeSantis is a better candidate than Trump.,"Classification: ['Lacks Evidence', 'Weak Evidence']
Span: ['Ultimately I believe Trump will back DeSantis because Ron is is gaining serious momentum', 'My view']"
Classify the argument and identify relevant spans.,Trump has (before he was president) and he actually has since he has been president. people protesting now shows nothing about what Trump or Obama has done as president.,"Classification: ['Lacks Evidence']
Span: ['people protesting now shows nothing about what Trump or Obama has done as president.']"
Classify the argument and identify relevant spans.,I believe that abortions should be legal. I believe this mostly because it’s not a human inside the mother. It’s a bundle of cells that will more than likely become a human.,"Classification: ['Lacks Evidence']
Span: ['It’s a bundle of cells that will more than likely become a human.']"
Classify the argument and identify relevant spans.,Third wave feminism is just too open and all-inclusive a movement and therefore so different from Second wave feminism that it's basically egalitarianism by another name. So just switch to egalitarianism and be honest about what you support.,"Classification: ['Weak Evidence']
Span: ['Third wave feminism is just too open and all-inclusive a movement']"
Classify the argument and identify relevant spans.,"I am profoundly in favor of people thinking for themselves, but only because I think it will eventually lead people to conclusions similar to mine. If you think for yourself and you arrive at a false or harmful set of views, then you wasted your time and you shouldn't have thought for yourself.","Classification: ['Lacks Evidence', 'Weak Evidence']
Span: [""you wasted your time and you shouldn't have thought for yourself."", 'it will eventually lead people to conclusions similar to mine.']"
Classify the argument and identify relevant spans.,"Not sure if the link is broken or it’s because I’m on mobile but I can’t see the article you’re linking to, it’s just directing to huffington posts main page. And my stance remains the same wether it’s a white guy playing a black character or a black guy playing a white character etc.","Classification: ['Weak Evidence']
Span: ['link is broken or it’s because I’m on mobile but I can’t see the article you’re linking to,']"
Classify the argument and identify relevant spans.,"""if you believe you know everything"" This falls in line with the Bible passages speaking to people worshipping themselves. To dismiss God, you place faith in yourself, and in your own understanding. Therefore, it takes faith, as stated in your own words, to acknowledge or dismiss God.","Classification: ['Lacks Evidence', 'Weak Evidence']
Span: ['This falls in line with the Bible passages speaking to people worshipping themselves.', 'To dismiss God, you place faith in yourself, and in your own understanding.']"
Classify the argument and identify relevant spans.,"Here in the UK schools have to wear a shirt, trousers and a blazer, it is uncomfortable of course. But it is better. But when it comes to bullying, people getting bullied because of what they wear or if they are poor is such a big thing.","Classification: ['Lacks Evidence']
Span: ['But it is better.']"
Classify the argument and identify relevant spans.,I’m the single mother and have a 12yr old son. I think about this everyday raising him. I acknowledge that my view may be ..skewed due to personal experiences.,"Classification: ['Weak Evidence']
Span: ['due to personal experiences.']"
Classify the argument and identify relevant spans.,"I hate it when a girl I'm dating keeps making new ""male friends"". To me,a person approaching you to hang out,because they found you attractive sounds like a date,not two friends hanging out.","Classification: ['Lacks Evidence']
Span: ['a person approaching you to hang out,because they found you attractive sounds like a date,not two friends hanging out.']"
Classify the argument and identify relevant spans.,You're with the Taliban aren't you. I dunno I just have this suspicion.,"Classification: ['Weak Evidence']
Span: ['I dunno I just have this suspicion.']"
Classify the argument and identify relevant spans.,"I say ""hypothetically"" because we have an imperfect justice system which can convict innocent people. However, in a theoretically flawless justice system which never convicts the innocent, I see nothing wrong with castrating violent rapists.","Classification: ['Lacks Evidence']
Span: ['see nothing wrong with castrating violent rapists.']"
